"Label","New York!!Total!!Estimate","New York!!Male!!Estimate","New York!!Female!!Estimate","Bronx County, New York!!Total!!Estimate","Bronx County, New York!!Male!!Estimate","Bronx County, New York!!Female!!Estimate","Kings County, New York!!Total!!Estimate","Kings County, New York!!Male!!Estimate","Kings County, New York!!Female!!Estimate","New York County, New York!!Total!!Estimate","New York County, New York!!Male!!Estimate","New York County, New York!!Female!!Estimate","Queens County, New York!!Total!!Estimate","Queens County, New York!!Male!!Estimate","Queens County, New York!!Female!!Estimate","Richmond County, New York!!Total!!Estimate","Richmond County, New York!!Male!!Estimate","Richmond County, New York!!Female!!Estimate"
"AGE BY EDUCATIONAL ATTAINMENT","","","","","","","","","","","","","","","","","",""
"    Population 18 to 24 years","1,766,731","887,762","878,969","137,331","69,321","68,010","202,230","98,076","104,154","145,284","64,522","80,762","168,832","84,145","84,687","38,961","19,836","19,125"
"        Less than high school graduate","181,143","106,179","74,964","26,615","15,189","11,426","22,431","13,285","9,146","10,300","6,426","3,874","17,430","9,474","7,956","3,962","2,203","1,759"
"        High school graduate (includes equivalency)","498,422","279,381","219,041","37,461","21,847","15,614","60,817","31,512","29,305","29,156","14,457","14,699","44,184","25,189","18,995","10,327","6,791","3,536"
"        Some college or associate's degree","762,486","366,482","396,004","58,423","27,409","31,014","77,321","36,367","40,954","56,233","23,211","33,022","76,475","37,448","39,027","16,253","7,561","8,692"
"        Bachelor's degree or higher","324,680","135,720","188,960","14,832","4,876","9,956","41,661","16,912","24,749","49,595","20,428","29,167","30,743","12,034","18,709","8,419","3,281","5,138"
"    Population 25 years and over","13,664,734","6,500,808","7,163,926","932,813","422,296","510,517","1,777,543","817,702","959,841","1,251,551","589,675","661,876","1,633,699","778,279","855,420","333,496","158,296","175,200"
"        Less than 9th grade","795,539","370,237","425,302","106,963","44,778","62,185","150,441","63,938","86,503","80,009","33,665","46,344","165,138","75,450","89,688","16,264","6,674","9,590"
"        9th to 12th grade, no diploma","898,691","451,796","446,895","131,428","59,699","71,729","138,229","66,005","72,224","73,291","34,005","39,286","112,726","59,284","53,442","20,405","11,711","8,694"
"        High school graduate (includes equivalency)","3,524,192","1,748,881","1,775,311","271,874","139,256","132,618","472,167","221,767","250,400","158,877","81,036","77,841","446,542","221,231","225,311","97,259","46,029","51,230"
"        Some college, no degree","2,075,506","1,035,209","1,040,297","159,672","73,994","85,678","216,409","105,168","111,241","120,657","54,156","66,501","236,598","115,844","120,754","54,445","29,539","24,906"
"        Associate's degree","1,204,588","520,358","684,230","72,701","27,066","45,635","103,381","43,784","59,597","43,093","17,782","25,311","130,799","57,722","73,077","24,334","10,527","13,807"
"        Bachelor's degree","2,898,440","1,395,801","1,502,639","118,282","51,206","67,076","419,822","197,189","222,633","403,257","198,502","204,755","334,272","159,039","175,233","71,914","35,362","36,552"
"        Graduate or professional degree","2,267,778","978,526","1,289,252","71,893","26,297","45,596","277,094","119,851","157,243","372,367","170,529","201,838","207,624","89,709","117,915","48,875","18,454","30,421"
"        High school graduate or higher","11,970,504","5,678,775","6,291,729","694,422","317,819","376,603","1,488,873","687,759","801,114","1,098,251","522,005","576,246","1,355,835","643,545","712,290","296,827","139,911","156,916"
"        Bachelor's degree or higher","5,166,218","2,374,327","2,791,891","190,175","77,503","112,672","696,916","317,040","379,876","775,624","369,031","406,593","541,896","248,748","293,148","120,789","53,816","66,973"
"    Population 25 to 34 years","2,865,401","1,435,377","1,430,024","227,113","110,816","116,297","470,688","228,110","242,578","361,731","175,335","186,396","360,026","180,470","179,556","63,991","32,555","31,436"
"        High school graduate or higher","2,643,911","1,314,963","1,328,948","190,103","92,603","97,500","430,403","207,583","222,820","350,235","168,962","181,273","333,862","165,434","168,428","59,774","30,344","29,430"
"        Bachelor's degree or higher","1,351,584","608,078","743,506","57,826","24,499","33,327","249,828","113,745","136,083","278,488","129,683","148,805","169,244","76,276","92,968","30,304","13,085","17,219"
"    Population 35 to 44 years","2,430,106","1,197,859","1,232,247","180,518","84,127","96,391","357,558","171,997","185,561","234,018","116,353","117,665","306,325","152,040","154,285","59,901","28,877","31,024"
"        High school graduate or higher","2,172,693","1,058,785","1,113,908","140,520","64,433","76,087","318,333","152,763","165,570","217,992","107,929","110,063","263,667","129,308","134,359","54,647","26,680","27,967"
"        Bachelor's degree or higher","1,066,716","473,606","593,110","40,247","15,617","24,630","172,104","80,917","91,187","162,570","80,883","81,687","116,664","51,938","64,726","25,989","11,026","14,963"
"    Population 45 to 64 years","5,073,259","2,445,771","2,627,488","335,730","152,831","182,899","581,919","266,847","315,072","379,199","184,658","194,541","598,888","289,418","309,470","130,303","62,432","67,871"
"        High school graduate or higher","4,447,044","2,127,691","2,319,353","246,070","114,567","131,503","473,307","215,511","257,796","319,928","156,357","163,571","492,170","236,826","255,344","117,411","54,982","62,429"
"        Bachelor's degree or higher","1,758,672","809,799","948,873","60,416","24,474","35,942","181,035","80,777","100,258","200,630","96,514","104,116","170,420","80,289","90,131","43,354","19,692","23,662"
"    Population 65 years and over","3,295,968","1,421,801","1,874,167","189,452","74,522","114,930","367,378","150,748","216,630","276,603","113,329","163,274","368,460","156,351","212,109","79,301","34,432","44,869"
"        High school graduate or higher","2,706,856","1,177,336","1,529,520","117,729","46,216","71,513","266,830","111,902","154,928","210,096","88,757","121,339","266,136","111,977","154,159","64,995","27,905","37,090"
"        Bachelor's degree or higher","989,246","482,844","506,402","31,686","12,913","18,773","93,949","41,601","52,348","133,936","61,951","71,985","85,568","40,245","45,323","21,142","10,013","11,129"
"RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT","","","","","","","","","","","","","","","","","",""
"    White alone","8,910,770","4,303,014","4,607,756","227,750","107,974","119,776","783,732","376,281","407,451","732,236","355,807","376,429","620,068","301,917","318,151","249,372","118,896","130,476"
"        High school graduate or higher","8,174,629","3,927,391","4,247,238","169,005","80,206","88,799","706,987","341,227","365,760","692,846","338,982","353,864","541,807","260,795","281,012","225,313","106,851","118,462"
"        Bachelor's degree or higher","3,773,080","1,783,391","1,989,689","56,657","25,844","30,813","432,987","209,695","223,292","566,941","278,849","288,092","242,308","116,203","126,105","91,265","41,444","49,821"
"    White alone, not Hispanic or Latino","7,894,691","3,809,484","4,085,207","94,201","45,774","48,427","659,773","318,597","341,176","618,310","301,230","317,080","434,282","212,436","221,846","210,270","100,181","110,089"
"        High school graduate or higher","7,399,414","3,552,969","3,846,445","79,918","38,906","41,012","613,351","295,480","317,871","605,804","296,358","309,446","400,143","194,525","205,618","195,914","93,153","102,761"
"        Bachelor's degree or higher","3,513,139","1,664,687","1,848,452","36,904","18,333","18,571","402,485","194,791","207,694","519,547","254,042","265,505","204,135","100,729","103,406","82,553","37,527","45,026"
"    Black alone","2,097,135","932,103","1,165,032","359,027","158,221","200,806","574,467","239,707","334,760","170,988","76,886","94,102","297,663","130,249","167,414","30,478","13,774","16,704"
"        High school graduate or higher","1,783,534","787,450","996,084","283,266","126,611","156,655","495,661","207,800","287,861","143,333","62,655","80,678","260,578","112,360","148,218","27,529","12,460","15,069"
"        Bachelor's degree or higher","514,071","193,502","320,569","70,148","26,265","43,883","139,093","50,533","88,560","53,047","21,421","31,626","76,357","27,750","48,607","8,291","2,749","5,542"
"    American Indian or Alaska Native alone","50,556","24,491","26,065","5,868","2,353","3,515","4,556","2,079","2,477","N","N","N","8,536","4,745","3,791","N","N","N"
"        High school graduate or higher","38,409","18,941","19,468","4,420","1,835","2,585","3,012","1,565","1,447","N","N","N","6,359","3,373","2,986","N","N","N"
"        Bachelor's degree or higher","9,348","4,294","5,054","615","143","472","1,182","556","626","N","N","N","1,514","708","806","N","N","N"
"    Asian alone","1,213,907","563,544","650,363","38,188","17,582","20,606","222,754","104,563","118,191","161,631","70,907","90,724","440,933","206,912","234,021","37,222","17,661","19,561"
"        High school graduate or higher","973,299","458,372","514,927","30,105","14,723","15,382","154,040","73,320","80,720","131,718","57,795","73,923","349,155","167,010","182,145","30,600","14,478","16,122"
"        Bachelor's degree or higher","579,958","265,918","314,040","15,307","6,871","8,436","80,125","36,021","44,104","108,959","47,024","61,935","169,223","79,993","89,230","16,399","7,647","8,752"
"    Native Hawaiian and Other Pacific Islander alone","5,020","2,315","2,705","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"        High school graduate or higher","4,132","1,895","2,237","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"        Bachelor's degree or higher","949","286","663","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"    Some other race alone","1,060,782","517,789","542,993","265,986","118,723","147,263","142,179","69,832","72,347","140,031","65,710","74,321","214,700","108,931","105,769","11,092","5,154","5,938"
"        High school graduate or higher","721,103","351,811","369,292","180,720","81,030","99,690","85,759","41,536","44,223","93,201","46,343","46,858","153,539","78,538","75,001","8,176","3,378","4,798"
"        Bachelor's degree or higher","172,193","74,407","97,786","39,209","14,656","24,553","20,634","8,600","12,034","24,842","12,465","12,377","34,865","15,787","19,078","3,014","1,283","1,731"
"    Two or more races","326,564","157,552","169,012","35,446","17,209","18,237","49,168","24,865","24,303","41,805","17,862","23,943","50,866","25,164","25,702","4,529","2,448","2,081"
"        High school graduate or higher","275,398","132,915","142,483","26,471","13,180","13,291","42,771","21,936","20,835","34,451","14,648","19,803","43,671","21,290","22,381","4,494","2,446","2,048"
"        Bachelor's degree or higher","116,619","52,529","64,090","8,081","3,724","4,357","22,830","11,570","11,260","21,531","9,211","12,320","17,277","8,128","9,149","1,380","540","840"
"    Hispanic or Latino Origin","2,359,532","1,139,722","1,219,810","502,485","225,848","276,637","314,231","148,925","165,306","297,113","138,816","158,297","420,903","209,188","211,715","52,903","25,439","27,464"
"        High school graduate or higher","1,713,541","825,309","888,232","343,389","156,295","187,094","218,169","104,725","113,444","211,480","102,076","109,404","313,736","153,674","160,062","39,949","18,334","21,615"
"        Bachelor's degree or higher","497,085","219,364","277,721","74,663","27,463","47,200","63,063","29,924","33,139","82,169","40,897","41,272","82,256","35,429","46,827","12,349","5,215","7,134"
"POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL","","","","","","","","","","","","","","","","","",""
"    Less than high school graduate","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    High school graduate (includes equivalency)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    Some college or associate's degree","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    Bachelor's degree or higher","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS)","","","","","","","","","","","","","","","","","",""
"    Population 25 years and over with earnings","47,645","52,482","41,655","33,473","36,988","30,855","47,345","51,488","43,078","72,404","83,470","62,419","42,761","47,124","40,614","54,122","60,826","47,437"
"        Less than high school graduate","26,036","30,358","21,109","23,139","26,490","19,788","24,669","27,250","21,129","22,839","25,670","21,484","26,782","30,345","21,846","25,746","28,048","19,161"
"        High school graduate (includes equivalency)","33,491","40,563","27,124","30,012","32,173","23,705","32,597","39,183","28,413","31,618","35,895","27,279","32,255","38,156","28,049","40,015","46,954","27,419"
"        Some college or associate's degree","41,421","50,095","35,792","35,787","41,383","31,350","41,214","45,922","38,385","39,545","42,495","32,266","41,640","46,087","39,077","51,518","61,762","41,014"
"        Bachelor's degree","62,699","72,237","55,471","50,367","53,124","47,459","67,050","71,106","62,485","85,699","100,295","74,894","59,902","61,494","55,083","66,196","76,064","58,230"
"        Graduate or professional degree","81,041","96,831","71,954","65,642","66,760","63,857","80,260","86,630","75,040","110,007","146,829","91,394","74,378","76,513","72,616","79,025","86,986","76,574"
