"Label","New York!!Total!!Estimate","New York!!Male!!Estimate","New York!!Female!!Estimate","Bronx County, New York!!Total!!Estimate","Bronx County, New York!!Male!!Estimate","Bronx County, New York!!Female!!Estimate","Kings County, New York!!Total!!Estimate","Kings County, New York!!Male!!Estimate","Kings County, New York!!Female!!Estimate","New York County, New York!!Total!!Estimate","New York County, New York!!Male!!Estimate","New York County, New York!!Female!!Estimate","Queens County, New York!!Total!!Estimate","Queens County, New York!!Male!!Estimate","Queens County, New York!!Female!!Estimate","Richmond County, New York!!Total!!Estimate","Richmond County, New York!!Male!!Estimate","Richmond County, New York!!Female!!Estimate"
"Population 18 to 24 years","1,981,342","999,259","982,083","164,388","83,118","81,270","246,937","121,396","125,541","157,010","70,824","86,186","208,044","104,466","103,578","43,584","21,981","21,603"
"Less than high school graduate","12.8%","14.7%","10.8%","24.5%","25.6%","23.4%","14.5%","17.0%","12.2%","10.0%","12.9%","7.6%","12.1%","14.4%","9.9%","9.6%","10.4%","8.8%"
"High school graduate (includes equivalency)","25.8%","28.3%","23.2%","27.0%","30.1%","23.7%","27.4%","30.4%","24.5%","16.8%","16.8%","16.8%","23.8%","26.0%","21.6%","25.4%","28.6%","22.2%"
"Some college or associate's degree","46.3%","44.8%","47.9%","41.6%","39.4%","43.9%","40.0%","38.8%","41.2%","40.3%","39.3%","41.2%","48.8%","47.0%","50.6%","49.1%","48.0%","50.3%"
"Bachelor's degree or higher","15.1%","12.2%","18.1%","6.9%","4.9%","8.9%","18.1%","13.9%","22.1%","32.9%","31.1%","34.3%","15.3%","12.6%","18.0%","15.8%","13.0%","18.6%"
"Population 25 years and over","13,539,612","6,418,724","7,120,888","907,037","406,868","500,169","1,763,658","809,730","953,928","1,238,675","579,361","659,314","1,640,590","779,798","860,792","324,356","153,219","171,137"
"    Less than 9th grade","6.7%","6.5%","6.8%","15.7%","15.4%","15.9%","9.9%","9.6%","10.1%","7.0%","6.5%","7.5%","10.5%","9.7%","11.2%","4.8%","4.8%","4.9%"
"    9th to 12th grade, no diploma","7.6%","7.8%","7.4%","13.8%","14.3%","13.5%","10.1%","10.0%","10.3%","6.2%","6.2%","6.2%","9.1%","9.4%","8.7%","6.9%","7.3%","6.6%"
"    High school graduate (includes equivalency)","26.6%","27.3%","25.9%","27.3%","29.2%","25.7%","25.9%","26.1%","25.7%","12.9%","13.3%","12.4%","27.6%","28.0%","27.1%","32.1%","32.4%","31.9%"
"    Some college, no degree","16.1%","16.8%","15.5%","16.9%","18.1%","15.9%","13.6%","14.0%","13.2%","9.8%","10.7%","9.0%","15.0%","15.7%","14.4%","16.6%","18.0%","15.2%"
"    Associate's degree","8.6%","7.7%","9.4%","7.0%","5.8%","8.0%","6.2%","5.6%","6.6%","4.2%","3.6%","4.8%","8.1%","7.6%","8.6%","8.4%","7.4%","9.4%"
"    Bachelor's degree","19.6%","19.9%","19.3%","12.5%","11.5%","13.4%","21.2%","22.3%","20.2%","31.4%","31.2%","31.5%","18.8%","19.2%","18.5%","19.2%","19.6%","18.9%"
"    Graduate or professional degree","14.9%","13.9%","15.8%","6.7%","5.7%","7.6%","13.1%","12.3%","13.8%","28.5%","28.4%","28.6%","11.0%","10.4%","11.4%","11.9%","10.6%","13.0%"
