"Label","New York!!Total!!Estimate","New York!!Male!!Estimate","New York!!Female!!Estimate","Bronx County, New York!!Total!!Estimate","Bronx County, New York!!Male!!Estimate","Bronx County, New York!!Female!!Estimate","Kings County, New York!!Total!!Estimate","Kings County, New York!!Male!!Estimate","Kings County, New York!!Female!!Estimate","New York County, New York!!Total!!Estimate","New York County, New York!!Male!!Estimate","New York County, New York!!Female!!Estimate","Queens County, New York!!Total!!Estimate","Queens County, New York!!Male!!Estimate","Queens County, New York!!Female!!Estimate","Richmond County, New York!!Total!!Estimate","Richmond County, New York!!Male!!Estimate","Richmond County, New York!!Female!!Estimate"
"Population 18 to 24 years","1,987,871","1,010,917","976,954","162,580","82,916","79,664","260,993","130,199","130,794","170,710","76,134","94,576","213,192","108,719","104,473","44,610","22,751","21,859"
"Less than high school graduate","14.8%","17.5%","11.9%","26.7%","29.6%","23.7%","18.1%","20.9%","15.3%","13.8%","17.5%","10.8%","16.4%","20.9%","11.7%","9.7%","11.1%","8.4%"
"High school graduate (includes equivalency)","25.6%","27.7%","23.4%","26.1%","28.6%","23.5%","23.9%","25.3%","22.6%","19.7%","20.6%","19.0%","21.6%","23.3%","19.7%","27.0%","26.8%","27.2%"
"Some college or associate's degree","45.8%","43.3%","48.4%","40.9%","37.5%","44.5%","43.9%","42.3%","45.5%","34.6%","31.6%","37.0%","48.7%","45.4%","52.1%","51.8%","53.0%","50.5%"
"Bachelor's degree or higher","13.9%","11.5%","16.4%","6.3%","4.3%","8.3%","14.1%","11.4%","16.7%","31.9%","30.3%","33.2%","13.4%","10.4%","16.5%","11.5%","9.2%","14.0%"
"Population 25 years and over","13,197,704","6,234,632","6,963,072","861,146","384,234","476,912","1,673,492","762,109","911,383","1,193,946","557,673","636,273","1,571,088","743,998","827,090","317,982","149,919","168,063"
"Less than 9th grade","6.8%","6.6%","7.0%","16.0%","15.9%","16.1%","10.8%","10.7%","10.9%","8.1%","6.9%","9.0%","10.4%","9.9%","10.8%","5.1%","4.6%","5.6%"
"9th to 12th grade, no diploma","8.1%","8.6%","7.7%","14.7%","14.7%","14.7%","10.9%","11.5%","10.4%","6.0%","6.3%","5.8%","9.2%","9.8%","8.8%","7.2%","7.2%","7.1%"
"High school graduate (includes equivalency)","27.5%","28.0%","27.1%","27.6%","30.6%","25.1%","27.6%","28.2%","27.1%","13.3%","13.4%","13.2%","27.8%","28.1%","27.6%","33.1%","32.9%","33.2%"
"Some college, no degree","16.3%","16.7%","15.9%","16.9%","16.5%","17.3%","14.6%","14.9%","14.4%","11.2%","11.9%","10.5%","15.2%","15.3%","15.1%","18.3%","19.4%","17.2%"
"Associate's degree","8.3%","7.4%","9.0%","7.4%","6.4%","8.2%","6.2%","5.6%","6.7%","3.4%","2.9%","3.8%","6.9%","6.1%","7.5%","6.8%","6.7%","6.9%"
"Bachelor's degree","18.7%","19.0%","18.4%","11.1%","10.5%","11.7%","18.6%","18.5%","18.7%","30.3%","29.9%","30.6%","19.3%","19.8%","18.9%","17.7%","18.8%","16.7%"
"Graduate or professional degree","14.2%","13.6%","14.8%","6.3%","5.3%","7.0%","11.3%","10.6%","11.8%","27.8%","28.6%","27.0%","11.2%","11.0%","11.4%","11.9%","10.5%","13.3%"
"Percent high school graduate or higher","85.0%","84.8%","85.3%","69.3%","69.3%","69.3%","78.3%","77.8%","78.7%","85.9%","86.8%","85.2%","80.4%","80.3%","80.5%","87.7%","88.3%","87.3%"
"Percent bachelor's degree or higher","32.9%","32.6%","33.2%","17.4%","15.8%","18.7%","29.9%","29.2%","30.5%","58.1%","58.6%","57.6%","30.5%","30.7%","30.2%","29.7%","29.3%","30.0%"
"Population 25 to 34 years","2,708,911","1,338,851","1,370,060","204,677","96,249","108,428","438,072","210,205","227,867","353,989","166,978","187,011","366,509","183,289","183,220","60,204","29,963","30,241"
"High school graduate or higher","88.3%","86.9%","89.7%","76.4%","74.9%","77.7%","86.2%","84.7%","87.7%","94.4%","93.2%","95.5%","86.2%","84.2%","88.3%","93.9%","94.7%","93.2%"
"Bachelor's degree or higher","41.5%","36.6%","46.3%","20.1%","15.5%","24.2%","41.0%","36.7%","44.9%","75.4%","71.1%","79.2%","39.1%","34.7%","43.5%","40.0%","33.8%","46.2%"
"Population 35 to 44 years","2,566,794","1,260,585","1,306,209","183,550","84,570","98,980","344,343","163,818","180,525","234,802","118,120","116,682","324,259","161,783","162,476","64,378","31,207","33,171"
"High school graduate or higher","87.2%","85.9%","88.5%","74.8%","73.6%","75.9%","81.7%","80.3%","83.0%","88.9%","88.6%","89.1%","82.6%","81.7%","83.5%","91.5%","90.8%","92.2%"
"Bachelor's degree or higher","36.7%","33.8%","39.5%","19.7%","17.7%","21.4%","34.4%","32.9%","35.8%","60.1%","59.4%","60.8%","35.3%","32.8%","37.9%","35.2%","34.8%","35.5%"
"Population 45 to 64 years","5,257,079","2,527,887","2,729,192","323,809","146,699","177,110","599,185","272,827","326,358","386,280","184,500","201,780","589,393","280,913","308,480","132,208","63,173","69,035"
"High school graduate or higher","86.8%","86.4%","87.2%","69.7%","69.7%","69.7%","77.8%","76.7%","78.7%","83.6%","85.0%","82.3%","80.9%","80.7%","81.0%","88.0%","88.8%","87.3%"
"Bachelor's degree or higher","31.6%","31.6%","31.5%","17.1%","15.8%","18.2%","25.3%","25.6%","25.0%","50.3%","51.5%","49.1%","27.1%","28.6%","25.8%","28.3%","26.9%","29.5%"
"Population 65 years and over","2,664,920","1,107,309","1,557,611","149,110","56,716","92,394","291,892","115,259","176,633","218,875","88,075","130,800","290,927","118,013","172,914","61,192","25,576","35,616"
