"Label","New York!!Total!!Estimate","New York!!Male!!Estimate","New York!!Female!!Estimate","Bronx County, New York!!Total!!Estimate","Bronx County, New York!!Male!!Estimate","Bronx County, New York!!Female!!Estimate","Kings County, New York!!Total!!Estimate","Kings County, New York!!Male!!Estimate","Kings County, New York!!Female!!Estimate","New York County, New York!!Total!!Estimate","New York County, New York!!Male!!Estimate","New York County, New York!!Female!!Estimate","Queens County, New York!!Total!!Estimate","Queens County, New York!!Male!!Estimate","Queens County, New York!!Female!!Estimate","Richmond County, New York!!Total!!Estimate","Richmond County, New York!!Male!!Estimate","Richmond County, New York!!Female!!Estimate"
"Population 18 to 24 years","1,989,972","1,008,132","981,840","161,687","81,747","79,940","265,755","132,385","133,370","181,157","79,253","101,904","218,508","112,215","106,293","44,389","22,752","21,637"
"Less than high school graduate","15.1%","18.0%","12.2%","29.3%","34.6%","23.8%","19.4%","23.2%","15.6%","10.9%","14.6%","8.0%","18.2%","22.0%","14.1%","10.6%","13.8%","7.3%"
"High school graduate (includes equivalency)","25.5%","27.7%","23.3%","25.4%","25.8%","24.9%","25.0%","25.5%","24.5%","17.6%","21.7%","14.4%","23.7%","26.2%","21.1%","23.4%","21.7%","25.1%"
"Some college or associate's degree","44.6%","42.6%","46.7%","37.8%","32.6%","43.0%","40.9%","40.0%","41.8%","37.9%","37.6%","38.1%","42.2%","40.7%","43.8%","51.8%","53.4%","50.2%"
"Bachelor's degree or higher","14.7%","11.7%","17.8%","7.6%","7.0%","8.2%","14.8%","11.4%","18.1%","33.6%","26.1%","39.5%","15.8%","11.0%","20.9%","14.2%","11.1%","17.4%"
"Population 25 years and over","13,089,848","6,172,582","6,917,266","857,048","380,659","476,389","1,649,387","749,321","900,066","1,171,294","546,231","625,063","1,554,325","733,594","820,731","316,070","149,010","167,060"
"Less than 9th grade","7.0%","7.0%","7.1%","14.9%","14.9%","14.8%","11.7%","11.7%","11.7%","8.0%","7.3%","8.7%","10.7%","10.4%","11.0%","5.2%","4.9%","5.4%"
"9th to 12th grade, no diploma","8.1%","8.5%","7.7%","15.9%","16.7%","15.3%","9.9%","10.1%","9.7%","6.3%","6.3%","6.3%","8.9%","9.3%","8.6%","6.8%","7.2%","6.5%"
"High school graduate (includes equivalency)","27.7%","27.9%","27.5%","29.0%","31.4%","27.0%","29.0%","29.0%","28.9%","13.1%","13.3%","12.9%","27.5%","27.6%","27.4%","31.9%","30.1%","33.5%"
"Some college, no degree","16.4%","17.0%","15.9%","16.8%","17.6%","16.3%","15.1%","15.7%","14.6%","10.9%","11.3%","10.5%","15.8%","16.9%","14.9%","18.2%","21.3%","15.4%"
"Associate's degree","8.2%","7.3%","9.0%","6.5%","5.4%","7.4%","5.7%","5.2%","6.1%","3.5%","2.8%","4.1%","7.6%","7.1%","8.0%","7.2%","6.2%","8.1%"
"Bachelor's degree","18.6%","18.9%","18.3%","10.7%","9.0%","12.1%","17.9%","18.2%","17.7%","30.4%","29.8%","30.9%","19.3%","19.5%","19.2%","19.7%","20.6%","18.8%"
"Graduate or professional degree","14.0%","13.4%","14.5%","6.2%","5.1%","7.0%","10.7%","10.1%","11.2%","27.7%","29.1%","26.5%","10.1%","9.2%","10.9%","11.0%","9.6%","12.3%"
"Percent high school graduate or higher","84.9%","84.5%","85.2%","69.2%","68.4%","69.9%","78.4%","78.2%","78.6%","85.6%","86.4%","85.0%","80.4%","80.3%","80.4%","88.0%","87.9%","88.0%"
"Percent bachelor's degree or higher","32.5%","32.3%","32.7%","16.9%","14.0%","19.2%","28.6%","28.3%","29.0%","58.1%","59.0%","57.4%","29.4%","28.7%","30.1%","30.7%","30.3%","31.1%"
"Population 25 to 34 years","2,659,287","1,310,232","1,349,055","203,592","94,525","109,067","426,999","204,356","222,643","341,446","161,044","180,402","362,275","180,273","182,002","59,990","29,818","30,172"
"High school graduate or higher","88.1%","86.8%","89.3%","75.7%","73.8%","77.3%","85.6%","85.0%","86.2%","93.9%","92.9%","94.8%","87.1%","85.1%","89.1%","93.6%","92.5%","94.6%"
"Bachelor's degree or higher","41.3%","36.5%","46.0%","19.5%","14.6%","23.8%","40.4%","37.1%","43.5%","74.4%","71.2%","77.3%","38.1%","32.9%","43.3%","44.6%","37.8%","51.3%"
"Population 35 to 44 years","2,608,602","1,277,239","1,331,363","186,631","86,158","100,473","340,509","161,722","178,787","233,362","117,063","116,299","325,805","162,298","163,507","65,697","32,003","33,694"
"High school graduate or higher","87.0%","85.4%","88.4%","71.6%","69.7%","73.2%","82.6%","82.0%","83.1%","90.1%","89.7%","90.5%","82.3%","80.0%","84.5%","89.8%","88.8%","90.7%"
"Bachelor's degree or higher","35.5%","32.7%","38.1%","17.2%","12.6%","21.1%","31.0%","29.6%","32.2%","62.6%","61.6%","63.5%","32.3%","29.8%","34.8%","30.0%","27.0%","32.8%"
"Population 45 to 64 years","5,197,911","2,496,231","2,701,680","320,065","144,193","175,872","592,969","269,563","323,406","381,592","181,178","200,414","579,005","274,879","304,126","130,841","62,466","68,375"
"High school graduate or higher","86.7%","86.1%","87.4%","69.3%","68.4%","70.0%","77.7%","76.5%","78.7%","83.2%","83.9%","82.5%","80.8%","80.8%","80.9%","90.2%","88.7%","91.6%"
"Bachelor's degree or higher","31.4%","31.7%","31.2%","17.1%","15.1%","18.8%","24.7%","24.7%","24.7%","50.3%","51.0%","49.7%","26.8%","27.1%","26.6%","29.4%","29.8%","28.9%"
"Population 65 years and over","2,624,048","1,088,880","1,535,168","146,760","55,783","90,977","288,910","113,680","175,230","214,894","86,946","127,948","287,240","116,144","171,096","59,542","24,723","34,819"
"High school graduate or higher","75.8%","77.0%","74.9%","57.1%","57.2%","57.1%","64.4%","64.5%","64.3%","72.1%","75.1%","70.0%","68.7%","71.9%","66.5%","75.4%","79.1%","72.7%"
