"Label","Kings County, New York!!Total!!Estimate","Kings County, New York!!Percent!!Estimate","Kings County, New York!!Males!!Estimate","Kings County, New York!!Percent Males!!Estimate","Kings County, New York!!Females!!Estimate","Kings County, New York!!Percent Females!!Estimate","New York!!Total!!Estimate","New York!!Percent!!Estimate","New York!!Males!!Estimate","New York!!Percent Males!!Estimate","New York!!Females!!Estimate","New York!!Percent Females!!Estimate","Richmond County, New York!!Total!!Estimate","Richmond County, New York!!Percent!!Estimate","Richmond County, New York!!Males!!Estimate","Richmond County, New York!!Percent Males!!Estimate","Richmond County, New York!!Females!!Estimate","Richmond County, New York!!Percent Females!!Estimate","Queens County, New York!!Total!!Estimate","Queens County, New York!!Percent!!Estimate","Queens County, New York!!Males!!Estimate","Queens County, New York!!Percent Males!!Estimate","Queens County, New York!!Females!!Estimate","Queens County, New York!!Percent Females!!Estimate","New York County, New York!!Total!!Estimate","New York County, New York!!Percent!!Estimate","New York County, New York!!Males!!Estimate","New York County, New York!!Percent Males!!Estimate","New York County, New York!!Females!!Estimate","New York County, New York!!Percent Females!!Estimate","Bronx County, New York!!Total!!Estimate","Bronx County, New York!!Percent!!Estimate","Bronx County, New York!!Males!!Estimate","Bronx County, New York!!Percent Males!!Estimate","Bronx County, New York!!Females!!Estimate","Bronx County, New York!!Percent Females!!Estimate"
"AGE BY EDUCATIONAL ATTAINMENT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Population 18 to 24 years","238,184","(X)","116,370","(X)","121,814","(X)","1,941,151","(X)","974,775","(X)","966,376","(X)","42,079","(X)","21,097","(X)","20,982","(X)","201,301","(X)","100,778","(X)","100,523","(X)","154,582","(X)","70,071","(X)","84,511","(X)","161,097","(X)","81,396","(X)","79,701","(X)"
"    Less than high school graduate","31,392","13.2%","18,477","15.9%","12,915","10.6%","231,056","11.9%","133,457","13.7%","97,599","10.1%","4,841","11.5%","2,904","13.8%","1,937","9.2%","24,132","12%","14,011","13.9%","10,121","10.1%","14,494","9.4%","8,121","11.6%","6,373","7.5%","36,128","22.4%","21,595","26.5%","14,533","18.2%"
"    High school graduate (includes equivalency)","61,434","25.8%","31,788","27.3%","29,646","24.3%","508,223","26.2%","283,316","29.1%","224,907","23.3%","10,889","25.9%","5,916","28%","4,973","23.7%","48,786","24.2%","26,683","26.5%","22,103","22%","25,280","16.4%","12,585","18%","12,695","15%","43,204","26.8%","23,110","28.4%","20,094","25.2%"
"    Some college or associate's degree","102,435","43%","50,263","43.2%","52,172","42.8%","896,102","46.2%","430,675","44.2%","465,427","48.2%","18,055","42.9%","8,294","39.3%","9,761","46.5%","95,351","47.4%","46,128","45.8%","49,223","49%","62,791","40.6%","26,875","38.4%","35,916","42.5%","69,790","43.3%","32,815","40.3%","36,975","46.4%"
"    Bachelor's degree or higher","42,923","18%","15,842","13.6%","27,081","22.2%","305,770","15.8%","127,327","13.1%","178,443","18.5%","8,294","19.7%","3,983","18.9%","4,311","20.5%","33,032","16.4%","13,956","13.8%","19,076","19%","52,017","33.7%","22,490","32.1%","29,527","34.9%","11,975","7.4%","3,876","4.8%","8,099","10.2%"
"Population 25 years and over","1,786,153","(X)","821,914","(X)","964,239","(X)","13,641,473","(X)","6,482,688","(X)","7,158,785","(X)","327,568","(X)","154,950","(X)","172,618","(X)","1,659,446","(X)","790,568","(X)","868,878","(X)","1,249,729","(X)","586,468","(X)","663,261","(X)","925,619","(X)","417,378","(X)","508,241","(X)"
"    Less than 9th grade","174,558","9.8%","75,741","9.2%","98,817","10.2%","903,295","6.6%","417,586","6.4%","485,709","6.8%","13,268","4.1%","5,684","3.7%","7,584","4.4%","179,966","10.8%","80,039","10.1%","99,927","11.5%","87,977","7%","38,718","6.6%","49,259","7.4%","139,314","15.1%","62,375","14.9%","76,939","15.1%"
"    9th to 12th grade, no diploma","172,914","9.7%","86,647","10.5%","86,267","8.9%","1,012,572","7.4%","516,566","8%","496,006","6.9%","20,646","6.3%","10,057","6.5%","10,589","6.1%","139,959","8.4%","71,523","9%","68,436","7.9%","80,277","6.4%","36,861","6.3%","43,416","6.5%","127,143","13.7%","60,084","14.4%","67,059","13.2%"
"    High school graduate (includes equivalency)","455,841","25.5%","211,590","25.7%","244,251","25.3%","3,615,023","26.5%","1,775,320","27.4%","1,839,703","25.7%","103,305","31.5%","49,284","31.8%","54,021","31.3%","459,679","27.7%","224,909","28.4%","234,770","27%","147,713","11.8%","71,295","12.2%","76,418","11.5%","255,555","27.6%","124,385","29.8%","131,170","25.8%"
