"Label","New York!!Total!!Estimate","New York!!Male!!Estimate","New York!!Female!!Estimate"
"Population 16 years and over with earnings","10,007,118","5,167,836","4,839,282"
"Median earnings (dollars)","32,288","36,969","28,794"
"Full-time, year-round workers with earnings","6,311,311","3,521,841","2,789,470"
"$1 to $9,999 or loss","2.0%","1.6%","2.4%"
"$10,000 to $14,999","4.0%","3.7%","4.4%"
"$15,000 to $24,999","13.2%","12.3%","14.2%"
"$25,000 to $34,999","14.7%","13.2%","16.6%"
"$35,000 to $49,999","19.5%","18.4%","20.9%"
"$50,000 to $64,999","15.1%","14.9%","15.4%"
"$65,000 to $74,999","6.4%","6.6%","6.2%"
"$75,000 to $99,999","10.7%","11.3%","10.0%"
"$100,000 or more","14.3%","17.9%","9.8%"
"Median earnings (dollars)","(X)","50,388","42,113"
"Mean earnings (dollars)","64,597","72,521","54,591"
"MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT","","",""
"    Population 25 years and over with earnings","37,958","42,318","33,123"
"    Less than high school graduate","19,253","22,032","15,373"
"    High school graduate (includes equivalency)","28,405","33,312","22,941"
"    Some college or associate's degree","35,937","41,907","30,840"
"    Bachelor's degree","51,446","60,477","45,431"
"    Graduate or professional degree","68,079","81,957","60,255"
"PERCENT IMPUTED","","",""
"    Earnings in the past 12 months","21.4%","(X)","(X)"
