"Label","New York!!Total!!Estimate","New York!!Male!!Estimate","New York!!Female!!Estimate"
"Population 16 years and over with earnings","10,529,212","5,419,511","5,109,701"
"Median earnings (dollars)","37,329","42,037","32,231"
"FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS","6,840,326","3,802,754","3,037,572"
"    $1 to $9,999 or loss","100,586","55,533","45,053"
"    $10,000 to $14,999","171,998","81,185","90,813"
"    $15,000 to $24,999","744,090","377,236","366,854"
"    $25,000 to $34,999","934,382","482,190","452,192"
"    $35,000 to $49,999","1,225,018","633,902","591,116"
"    $50,000 to $64,999","1,069,139","578,461","490,678"
"    $65,000 to $74,999","478,176","270,965","207,211"
"    $75,000 to $99,999","818,426","456,060","362,366"
"    $100,000 or more","1,298,511","867,222","431,289"
"Median earnings (dollars) for full-time, year-round workers with earnings","51,753","55,636","48,901"
"Mean earnings (dollars) for full-time, year-round workers with earnings","74,240","82,900","63,400"
"MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT","","",""
"    Population 25 years and over with earnings","42,525","49,785","38,025"
"        Less than high school graduate","22,323","26,364","18,368"
"        High school graduate (includes equivalency)","31,190","36,658","25,219"
"        Some college or associate's degree","38,580","45,448","32,391"
"        Bachelor's degree","60,027","69,070","51,371"
"        Graduate or professional degree","75,012","91,175","65,882"
