"Label","New York!!Total!!Estimate","New York!!Male!!Estimate","New York!!Female!!Estimate"
"Population 16 years and over with earnings","10,311,945","5,311,053","5,000,892"
"Median earnings (dollars)","34,308","39,407","30,475"
"Full-time, year-round workers with earnings","6,555,496","3,648,217","2,907,279"
"    $1 to $9,999 or loss","1.9%","1.7%","2.1%"
"    $10,000 to $14,999","3.4%","3.2%","3.6%"
"    $15,000 to $24,999","12.2%","11.3%","13.3%"
"    $25,000 to $34,999","14.3%","13.2%","15.6%"
"    $35,000 to $49,999","18.8%","17.3%","20.7%"
"    $50,000 to $64,999","15.3%","15.0%","15.6%"
"    $65,000 to $74,999","6.7%","6.7%","6.6%"
"    $75,000 to $99,999","11.2%","11.7%","10.7%"
"    $100,000 or more","16.2%","19.9%","11.6%"
"Median earnings (dollars)","(X)","51,580","44,781"
"Mean earnings (dollars)","68,681","76,685","58,637"
"MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT","","",""
"    Population 25 years and over with earnings","40,339","45,068","35,411"
"        Less than high school graduate","20,071","22,750","16,013"
"        High school graduate (includes equivalency)","29,501","33,826","23,937"
"        Some college or associate's degree","36,359","42,205","31,239"
"        Bachelor's degree","53,280","61,969","47,349"
"        Graduate or professional degree","70,858","84,202","61,997"
"PERCENT IMPUTED","","",""
"    Earnings in the past 12 months","23.7%","(X)","(X)"
