"Label","New York!!Total!!Estimate","New York!!Male!!Estimate","New York!!Female!!Estimate"
"Population 16 years and over with earnings","10,016,259","5,166,443","4,849,816"
"Median earnings (dollars)","32,088","37,063","28,902"
"Full-time, year-round workers with earnings","6,315,556","3,513,784","2,801,772"
"$1 to $9,999 or loss","2.1%","1.9%","2.3%"
"$10,000 to $14,999","3.8%","3.5%","4.1%"
"$15,000 to $24,999","12.9%","12.1%","13.9%"
"$25,000 to $34,999","15.4%","13.2%","18.0%"
"$35,000 to $49,999","20.3%","18.8%","22.1%"
"$50,000 to $64,999","15.5%","15.7%","15.2%"
"$65,000 to $74,999","6.3%","6.5%","6.1%"
"$75,000 to $99,999","10.4%","11.1%","9.4%"
"$100,000 or more","13.4%","17.2%","8.8%"
"Median earnings (dollars)","(X)","50,228","41,570"
"Mean earnings (dollars)","62,837","70,791","52,862"
"MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT","","",""
"    Population 25 years and over with earnings","37,757","42,129","32,468"
"    Less than high school graduate","19,777","22,107","15,495"
"    High school graduate (includes equivalency)","28,636","32,836","23,477"
"    Some college or associate's degree","35,824","41,896","31,072"
"    Bachelor's degree","51,219","60,094","45,396"
"    Graduate or professional degree","66,529","81,170","58,648"
"PERCENT IMPUTED","","",""
"    Earnings in the past 12 months","20.9%","(X)","(X)"
