"Label","New York!!Total!!Estimate","New York!!Male!!Estimate","New York!!Female!!Estimate"
"Population 16 years and over with earnings","10,429,826","5,336,031","5,093,795"
"    Median earnings (dollars)","41,492","47,239","36,555"
"    FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS","6,963,659","3,845,793","3,117,866"
"        $1 to $9,999 or loss","100,192","50,948","49,244"
"        $10,000 to $14,999","131,190","69,266","61,924"
"        $15,000 to $24,999","557,985","272,023","285,962"
"        $25,000 to $34,999","903,135","475,262","427,873"
"        $35,000 to $49,999","1,247,532","623,245","624,287"
"        $50,000 to $64,999","1,068,313","583,885","484,428"
"        $65,000 to $74,999","519,073","282,622","236,451"
"        $75,000 to $99,999","914,589","509,721","404,868"
"        $100,000 or more","1,521,650","978,821","542,829"
"        Median earnings (dollars) for full-time, year-round workers with earnings","56,393","60,686","51,927"
"        Mean earnings (dollars) for full-time, year-round workers with earnings","80,779","89,787","69,668"
"MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT","","",""
"    Population 25 years and over with earnings","47,645","52,482","41,655"
"        Less than high school graduate","26,036","30,358","21,109"
"        High school graduate (includes equivalency)","33,491","40,563","27,124"
"        Some college or associate's degree","41,421","50,095","35,792"
"        Bachelor's degree","62,699","72,237","55,471"
"        Graduate or professional degree","81,041","96,831","71,954"
