"Label","New York!!Total!!Estimate","New York!!Male!!Estimate","New York!!Female!!Estimate"
"Population 16 years and over with earnings","10,392,043","5,341,254","5,050,789"
"    Median earnings (dollars)","40,222","45,254","35,133"
"    FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS","6,800,397","3,767,097","3,033,300"
"        $1 to $9,999 or loss","98,100","50,053","48,047"
"        $10,000 to $14,999","142,382","71,458","70,924"
"        $15,000 to $24,999","634,414","324,652","309,762"
"        $25,000 to $34,999","887,327","458,148","429,179"
"        $35,000 to $49,999","1,213,855","610,086","603,769"
"        $50,000 to $64,999","1,080,671","595,637","485,034"
"        $65,000 to $74,999","493,716","272,278","221,438"
"        $75,000 to $99,999","876,204","480,384","395,820"
"        $100,000 or more","1,373,728","904,401","469,327"
"        Median earnings (dollars) for full-time, year-round workers with earnings","54,229","58,064","50,921"
"        Mean earnings (dollars) for full-time, year-round workers with earnings","77,058","85,741","66,273"
"MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT","","",""
"    Population 25 years and over with earnings","45,764","51,253","40,527"
"        Less than high school graduate","23,749","27,350","18,691"
"        High school graduate (includes equivalency)","32,286","38,605","26,412"
"        Some college or associate's degree","40,458","47,960","34,177"
"        Bachelor's degree","60,985","70,370","52,888"
"        Graduate or professional degree","77,469","92,345","70,156"
