"Label","New York!!Total!!Estimate","New York!!Male!!Estimate","New York!!Female!!Estimate"
"Population 16 years and over with earnings","10,429,686","5,376,236","5,053,450"
"Median earnings (dollars)","36,263","41,130","31,539"
"Full-time, year-round workers with earnings","6,710,730","3,745,109","2,965,621"
"    $1 to $9,999 or loss","1.5%","1.5%","1.6%"
"    $10,000 to $14,999","3.0%","2.6%","3.5%"
"    $15,000 to $24,999","11.3%","10.5%","12.3%"
"    $25,000 to $34,999","13.4%","12.6%","14.5%"
"    $35,000 to $49,999","18.3%","16.8%","20.1%"
"    $50,000 to $64,999","15.6%","15.4%","16.0%"
"    $65,000 to $74,999","7.1%","7.0%","7.2%"
"    $75,000 to $99,999","11.6%","11.7%","11.5%"
"    $100,000 or more","18.1%","21.9%","13.4%"
"Median earnings (dollars)","(X)","53,124","47,358"
"Mean earnings (dollars)","72,152","80,871","61,142"
"MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT","","",""
"    Population 25 years and over with earnings","41,610","47,486","36,745"
"        Less than high school graduate","21,133","24,733","16,565"
"        High school graduate (includes equivalency)","30,742","36,058","24,019"
"        Some college or associate's degree","37,005","44,272","31,607"
"        Bachelor's degree","56,868","65,877","50,554"
"        Graduate or professional degree","73,504","90,246","65,280"
"PERCENT ALLOCATED","","",""
"    Earnings in the past 12 months","24.2%","(X)","(X)"
