"Label","New York!!Total!!Estimate","New York!!Male!!Estimate","New York!!Female!!Estimate"
"Population 16 years and over with earnings","10,228,286","5,268,036","4,960,250"
"Median earnings (dollars)","33,062","38,004","30,279"
"Full-time, year-round workers with earnings","6,480,034","3,597,220","2,882,814"
"    $1 to $9,999 or loss","1.9%","1.7%","2.1%"
"    $10,000 to $14,999","3.7%","3.5%","4.0%"
"    $15,000 to $24,999","12.2%","11.7%","12.8%"
"    $25,000 to $34,999","14.6%","13.0%","16.5%"
"    $35,000 to $49,999","18.7%","17.2%","20.7%"
"    $50,000 to $64,999","15.0%","14.8%","15.2%"
"    $65,000 to $74,999","6.6%","6.7%","6.4%"
"    $75,000 to $99,999","11.2%","11.7%","10.6%"
"    $100,000 or more","16.1%","19.6%","11.6%"
"Median earnings (dollars)","(X)","51,414","44,114"
"Mean earnings (dollars)","67,670","75,949","57,340"
"MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT","","",""
"    Population 25 years and over with earnings","39,914","44,189","34,987"
"        Less than high school graduate","20,190","22,449","15,650"
"        High school graduate (includes equivalency)","29,182","33,280","23,891"
"        Some college or associate's degree","36,014","41,709","31,184"
"        Bachelor's degree","53,490","62,300","47,480"
"        Graduate or professional degree","70,822","84,108","61,556"
"PERCENT IMPUTED","","",""
"    Earnings in the past 12 months","24.3%","(X)","(X)"
