"Occupations","Gender","Boroughs","year","Salary","year_range","Salary_avg"
"Management occupations","Male","Bronx County","year2010",52075,"year2010_2013",51668
"Management occupations","Male","Bronx County","year2011",55677,"year2010_2013",51668
"Management occupations","Male","Bronx County","year2012",51601,"year2010_2013",51668
"Management occupations","Male","Bronx County","year2013",47319,"year2010_2013",51668
"Management occupations","Male","Bronx County","year2014",50170,"year2014_2016",50650.3333333333
"Management occupations","Male","Bronx County","year2015",50705,"year2014_2016",50650.3333333333
"Management occupations","Male","Bronx County","year2016",51076,"year2014_2016",50650.3333333333
"Management occupations","Male","Bronx County","year2017",51890,"year2017_2019",61359
"Management occupations","Male","Bronx County","year2018",61859,"year2017_2019",61359
"Management occupations","Male","Bronx County","year2019",70328,"year2017_2019",61359
"Management occupations","Male","Kings County","year2010",63901,"year2010_2013",65515.5
"Management occupations","Male","Kings County","year2011",66216,"year2010_2013",65515.5
"Management occupations","Male","Kings County","year2012",66829,"year2010_2013",65515.5
"Management occupations","Male","Kings County","year2013",65116,"year2010_2013",65515.5
"Management occupations","Male","Kings County","year2014",67142,"year2014_2016",73193.3333333333
"Management occupations","Male","Kings County","year2015",75244,"year2014_2016",73193.3333333333
"Management occupations","Male","Kings County","year2016",77194,"year2014_2016",73193.3333333333
"Management occupations","Male","Kings County","year2017",79988,"year2017_2019",83763
"Management occupations","Male","Kings County","year2018",80773,"year2017_2019",83763
"Management occupations","Male","Kings County","year2019",90528,"year2017_2019",83763
"Management occupations","Male","New York County","year2010",100440,"year2010_2013",109112.5
"Management occupations","Male","New York County","year2011",104539,"year2010_2013",109112.5
"Management occupations","Male","New York County","year2012",111337,"year2010_2013",109112.5
"Management occupations","Male","New York County","year2013",120134,"year2010_2013",109112.5
"Management occupations","Male","New York County","year2014",117126,"year2014_2016",122647.333333333
"Management occupations","Male","New York County","year2015",120255,"year2014_2016",122647.333333333
"Management occupations","Male","New York County","year2016",130561,"year2014_2016",122647.333333333
"Management occupations","Male","New York County","year2017",123686,"year2017_2019",129536.666666667
"Management occupations","Male","New York County","year2018",122623,"year2017_2019",129536.666666667
"Management occupations","Male","New York County","year2019",142301,"year2017_2019",129536.666666667
"Management occupations","Male","Queens County","year2010",58163,"year2010_2013",62756.25
"Management occupations","Male","Queens County","year2011",61957,"year2010_2013",62756.25
"Management occupations","Male","Queens County","year2012",64361,"year2010_2013",62756.25
"Management occupations","Male","Queens County","year2013",66544,"year2010_2013",62756.25
"Management occupations","Male","Queens County","year2014",61541,"year2014_2016",61760.6666666667
"Management occupations","Male","Queens County","year2015",61529,"year2014_2016",61760.6666666667
"Management occupations","Male","Queens County","year2016",62212,"year2014_2016",61760.6666666667
"Management occupations","Male","Queens County","year2017",70073,"year2017_2019",73635
"Management occupations","Male","Queens County","year2018",75730,"year2017_2019",73635
"Management occupations","Male","Queens County","year2019",75102,"year2017_2019",73635
"Management occupations","Male","Richmond County","year2010",85946,"year2010_2013",89993
"Management occupations","Male","Richmond County","year2011",91875,"year2010_2013",89993
"Management occupations","Male","Richmond County","year2012",82133,"year2010_2013",89993
"Management occupations","Male","Richmond County","year2013",100018,"year2010_2013",89993
"Management occupations","Male","Richmond County","year2014",86549,"year2014_2016",86555.6666666667
"Management occupations","Male","Richmond County","year2015",82241,"year2014_2016",86555.6666666667
"Management occupations","Male","Richmond County","year2016",90877,"year2014_2016",86555.6666666667
"Management occupations","Male","Richmond County","year2017",83066,"year2017_2019",88916.3333333333
"Management occupations","Male","Richmond County","year2018",101050,"year2017_2019",88916.3333333333
"Management occupations","Male","Richmond County","year2019",82633,"year2017_2019",88916.3333333333
"Business and financial operations occupations","Male","Bronx County","year2010",49502,"year2010_2013",48437.5
"Business and financial operations occupations","Male","Bronx County","year2011",51465,"year2010_2013",48437.5
"Business and financial operations occupations","Male","Bronx County","year2012",44862,"year2010_2013",48437.5
"Business and financial operations occupations","Male","Bronx County","year2013",47921,"year2010_2013",48437.5
"Business and financial operations occupations","Male","Bronx County","year2014",59167,"year2014_2016",57157
"Business and financial operations occupations","Male","Bronx County","year2015",56820,"year2014_2016",57157
"Business and financial operations occupations","Male","Bronx County","year2016",55484,"year2014_2016",57157
"Business and financial operations occupations","Male","Bronx County","year2017",60387,"year2017_2019",64434.3333333333
"Business and financial operations occupations","Male","Bronx County","year2018",62383,"year2017_2019",64434.3333333333
"Business and financial operations occupations","Male","Bronx County","year2019",70533,"year2017_2019",64434.3333333333
"Business and financial operations occupations","Male","Kings County","year2010",65022,"year2010_2013",65386.75
"Business and financial operations occupations","Male","Kings County","year2011",71657,"year2010_2013",65386.75
"Business and financial operations occupations","Male","Kings County","year2012",62933,"year2010_2013",65386.75
"Business and financial operations occupations","Male","Kings County","year2013",61935,"year2010_2013",65386.75
"Business and financial operations occupations","Male","Kings County","year2014",70139,"year2014_2016",73638
"Business and financial operations occupations","Male","Kings County","year2015",75175,"year2014_2016",73638
"Business and financial operations occupations","Male","Kings County","year2016",75600,"year2014_2016",73638
"Business and financial operations occupations","Male","Kings County","year2017",74936,"year2017_2019",80268
"Business and financial operations occupations","Male","Kings County","year2018",85417,"year2017_2019",80268
"Business and financial operations occupations","Male","Kings County","year2019",80451,"year2017_2019",80268
"Business and financial operations occupations","Male","New York County","year2010",89923,"year2010_2013",97963.5
"Business and financial operations occupations","Male","New York County","year2011",100068,"year2010_2013",97963.5
"Business and financial operations occupations","Male","New York County","year2012",100491,"year2010_2013",97963.5
"Business and financial operations occupations","Male","New York County","year2013",101372,"year2010_2013",97963.5
"Business and financial operations occupations","Male","New York County","year2014",100134,"year2014_2016",103900
"Business and financial operations occupations","Male","New York County","year2015",105476,"year2014_2016",103900
"Business and financial operations occupations","Male","New York County","year2016",106090,"year2014_2016",103900
"Business and financial operations occupations","Male","New York County","year2017",120680,"year2017_2019",117649.333333333
"Business and financial operations occupations","Male","New York County","year2018",120648,"year2017_2019",117649.333333333
"Business and financial operations occupations","Male","New York County","year2019",111620,"year2017_2019",117649.333333333
"Business and financial operations occupations","Male","Queens County","year2010",60423,"year2010_2013",63683.25
"Business and financial operations occupations","Male","Queens County","year2011",63396,"year2010_2013",63683.25
"Business and financial operations occupations","Male","Queens County","year2012",60845,"year2010_2013",63683.25
"Business and financial operations occupations","Male","Queens County","year2013",70069,"year2010_2013",63683.25
"Business and financial operations occupations","Male","Queens County","year2014",60294,"year2014_2016",62751
"Business and financial operations occupations","Male","Queens County","year2015",62360,"year2014_2016",62751
"Business and financial operations occupations","Male","Queens County","year2016",65599,"year2014_2016",62751
"Business and financial operations occupations","Male","Queens County","year2017",72197,"year2017_2019",76987.6666666667
"Business and financial operations occupations","Male","Queens County","year2018",78153,"year2017_2019",76987.6666666667
"Business and financial operations occupations","Male","Queens County","year2019",80613,"year2017_2019",76987.6666666667
"Business and financial operations occupations","Male","Richmond County","year2010",80744,"year2010_2013",75578.5
"Business and financial operations occupations","Male","Richmond County","year2011",62317,"year2010_2013",75578.5
"Business and financial operations occupations","Male","Richmond County","year2012",58996,"year2010_2013",75578.5
"Business and financial operations occupations","Male","Richmond County","year2013",100257,"year2010_2013",75578.5
"Business and financial operations occupations","Male","Richmond County","year2014",71604,"year2014_2016",69702.3333333333
"Business and financial operations occupations","Male","Richmond County","year2015",70636,"year2014_2016",69702.3333333333
"Business and financial operations occupations","Male","Richmond County","year2016",66867,"year2014_2016",69702.3333333333
"Business and financial operations occupations","Male","Richmond County","year2017",62369,"year2017_2019",66334.3333333333
"Business and financial operations occupations","Male","Richmond County","year2018",61748,"year2017_2019",66334.3333333333
"Business and financial operations occupations","Male","Richmond County","year2019",74886,"year2017_2019",66334.3333333333
"Computer and mathematical occupations","Male","Bronx County","year2010",49466,"year2010_2013",55026.75
"Computer and mathematical occupations","Male","Bronx County","year2011",55646,"year2010_2013",55026.75
"Computer and mathematical occupations","Male","Bronx County","year2012",49040,"year2010_2013",55026.75
"Computer and mathematical occupations","Male","Bronx County","year2013",65955,"year2010_2013",55026.75
"Computer and mathematical occupations","Male","Bronx County","year2014",57705,"year2014_2016",58704.6666666667
"Computer and mathematical occupations","Male","Bronx County","year2015",55789,"year2014_2016",58704.6666666667
"Computer and mathematical occupations","Male","Bronx County","year2016",62620,"year2014_2016",58704.6666666667
"Computer and mathematical occupations","Male","Bronx County","year2017",65189,"year2017_2019",65725.3333333333
"Computer and mathematical occupations","Male","Bronx County","year2018",65272,"year2017_2019",65725.3333333333
"Computer and mathematical occupations","Male","Bronx County","year2019",66715,"year2017_2019",65725.3333333333
"Computer and mathematical occupations","Male","Kings County","year2010",70859,"year2010_2013",71282.5
"Computer and mathematical occupations","Male","Kings County","year2011",66235,"year2010_2013",71282.5
"Computer and mathematical occupations","Male","Kings County","year2012",72637,"year2010_2013",71282.5
"Computer and mathematical occupations","Male","Kings County","year2013",75399,"year2010_2013",71282.5
"Computer and mathematical occupations","Male","Kings County","year2014",78026,"year2014_2016",79243.3333333333
"Computer and mathematical occupations","Male","Kings County","year2015",80487,"year2014_2016",79243.3333333333
"Computer and mathematical occupations","Male","Kings County","year2016",79217,"year2014_2016",79243.3333333333
"Computer and mathematical occupations","Male","Kings County","year2017",84436,"year2017_2019",91496.3333333333
"Computer and mathematical occupations","Male","Kings County","year2018",97624,"year2017_2019",91496.3333333333
"Computer and mathematical occupations","Male","Kings County","year2019",92429,"year2017_2019",91496.3333333333
"Computer and mathematical occupations","Male","New York County","year2010",87516,"year2010_2013",86739
"Computer and mathematical occupations","Male","New York County","year2011",79552,"year2010_2013",86739
"Computer and mathematical occupations","Male","New York County","year2012",78523,"year2010_2013",86739
"Computer and mathematical occupations","Male","New York County","year2013",101365,"year2010_2013",86739
"Computer and mathematical occupations","Male","New York County","year2014",101113,"year2014_2016",103882
"Computer and mathematical occupations","Male","New York County","year2015",105242,"year2014_2016",103882
"Computer and mathematical occupations","Male","New York County","year2016",105291,"year2014_2016",103882
"Computer and mathematical occupations","Male","New York County","year2017",102359,"year2017_2019",111270.333333333
"Computer and mathematical occupations","Male","New York County","year2018",115745,"year2017_2019",111270.333333333
"Computer and mathematical occupations","Male","New York County","year2019",115707,"year2017_2019",111270.333333333
"Computer and mathematical occupations","Male","Queens County","year2010",64772,"year2010_2013",71798.5
"Computer and mathematical occupations","Male","Queens County","year2011",71316,"year2010_2013",71798.5
"Computer and mathematical occupations","Male","Queens County","year2012",70889,"year2010_2013",71798.5
"Computer and mathematical occupations","Male","Queens County","year2013",80217,"year2010_2013",71798.5
"Computer and mathematical occupations","Male","Queens County","year2014",80177,"year2014_2016",76344.3333333333
"Computer and mathematical occupations","Male","Queens County","year2015",76698,"year2014_2016",76344.3333333333
"Computer and mathematical occupations","Male","Queens County","year2016",72158,"year2014_2016",76344.3333333333
"Computer and mathematical occupations","Male","Queens County","year2017",80722,"year2017_2019",83003.6666666667
"Computer and mathematical occupations","Male","Queens County","year2018",79676,"year2017_2019",83003.6666666667
"Computer and mathematical occupations","Male","Queens County","year2019",88613,"year2017_2019",83003.6666666667
"Computer and mathematical occupations","Male","Richmond County","year2010",82728,"year2010_2013",75020.75
"Computer and mathematical occupations","Male","Richmond County","year2011",71772,"year2010_2013",75020.75
"Computer and mathematical occupations","Male","Richmond County","year2012",70293,"year2010_2013",75020.75
"Computer and mathematical occupations","Male","Richmond County","year2013",75290,"year2010_2013",75020.75
"Computer and mathematical occupations","Male","Richmond County","year2014",91948,"year2014_2016",78269
"Computer and mathematical occupations","Male","Richmond County","year2015",66859,"year2014_2016",78269
"Computer and mathematical occupations","Male","Richmond County","year2016",76000,"year2014_2016",78269
"Computer and mathematical occupations","Male","Richmond County","year2017",101927,"year2017_2019",90402
"Computer and mathematical occupations","Male","Richmond County","year2018",85330,"year2017_2019",90402
"Computer and mathematical occupations","Male","Richmond County","year2019",83949,"year2017_2019",90402
"Architecture and engineering occupations","Male","Bronx County","year2010",57070,"year2010_2013",67083.75
"Architecture and engineering occupations","Male","Bronx County","year2011",67138,"year2010_2013",67083.75
"Architecture and engineering occupations","Male","Bronx County","year2012",82027,"year2010_2013",67083.75
"Architecture and engineering occupations","Male","Bronx County","year2013",62100,"year2010_2013",67083.75
"Architecture and engineering occupations","Male","Bronx County","year2014",50407,"year2014_2016",54219.3333333333
"Architecture and engineering occupations","Male","Bronx County","year2015",60440,"year2014_2016",54219.3333333333
"Architecture and engineering occupations","Male","Bronx County","year2016",51811,"year2014_2016",54219.3333333333
"Architecture and engineering occupations","Male","Bronx County","year2017",51159,"year2017_2019",62052.3333333333
"Architecture and engineering occupations","Male","Bronx County","year2018",79875,"year2017_2019",62052.3333333333
"Architecture and engineering occupations","Male","Bronx County","year2019",55123,"year2017_2019",62052.3333333333
"Architecture and engineering occupations","Male","Kings County","year2010",56783,"year2010_2013",62923.5
"Architecture and engineering occupations","Male","Kings County","year2011",61578,"year2010_2013",62923.5
"Architecture and engineering occupations","Male","Kings County","year2012",72014,"year2010_2013",62923.5
"Architecture and engineering occupations","Male","Kings County","year2013",61319,"year2010_2013",62923.5
"Architecture and engineering occupations","Male","Kings County","year2014",70813,"year2014_2016",72669.6666666667
"Architecture and engineering occupations","Male","Kings County","year2015",69780,"year2014_2016",72669.6666666667
"Architecture and engineering occupations","Male","Kings County","year2016",77416,"year2014_2016",72669.6666666667
"Architecture and engineering occupations","Male","Kings County","year2017",77074,"year2017_2019",80163
"Architecture and engineering occupations","Male","Kings County","year2018",82472,"year2017_2019",80163
"Architecture and engineering occupations","Male","Kings County","year2019",80943,"year2017_2019",80163
"Architecture and engineering occupations","Male","New York County","year2010",79611,"year2010_2013",79650.25
"Architecture and engineering occupations","Male","New York County","year2011",88605,"year2010_2013",79650.25
"Architecture and engineering occupations","Male","New York County","year2012",81729,"year2010_2013",79650.25
"Architecture and engineering occupations","Male","New York County","year2013",68656,"year2010_2013",79650.25
"Architecture and engineering occupations","Male","New York County","year2014",71143,"year2014_2016",75920.3333333333
"Architecture and engineering occupations","Male","New York County","year2015",70691,"year2014_2016",75920.3333333333
"Architecture and engineering occupations","Male","New York County","year2016",85927,"year2014_2016",75920.3333333333
"Architecture and engineering occupations","Male","New York County","year2017",80665,"year2017_2019",81154.3333333333
"Architecture and engineering occupations","Male","New York County","year2018",80557,"year2017_2019",81154.3333333333
"Architecture and engineering occupations","Male","New York County","year2019",82241,"year2017_2019",81154.3333333333
"Architecture and engineering occupations","Male","Queens County","year2010",71412,"year2010_2013",70789.75
"Architecture and engineering occupations","Male","Queens County","year2011",69806,"year2010_2013",70789.75
"Architecture and engineering occupations","Male","Queens County","year2012",71346,"year2010_2013",70789.75
"Architecture and engineering occupations","Male","Queens County","year2013",70595,"year2010_2013",70789.75
"Architecture and engineering occupations","Male","Queens County","year2014",67650,"year2014_2016",75152.6666666667
"Architecture and engineering occupations","Male","Queens County","year2015",81485,"year2014_2016",75152.6666666667
"Architecture and engineering occupations","Male","Queens County","year2016",76323,"year2014_2016",75152.6666666667
"Architecture and engineering occupations","Male","Queens County","year2017",81217,"year2017_2019",79914
"Architecture and engineering occupations","Male","Queens County","year2018",75645,"year2017_2019",79914
"Architecture and engineering occupations","Male","Queens County","year2019",82880,"year2017_2019",79914
"Architecture and engineering occupations","Male","Richmond County","year2010",54395,"year2010_2013",68221.25
"Architecture and engineering occupations","Male","Richmond County","year2011",67828,"year2010_2013",68221.25
"Architecture and engineering occupations","Male","Richmond County","year2012",79516,"year2010_2013",68221.25
"Architecture and engineering occupations","Male","Richmond County","year2013",71146,"year2010_2013",68221.25
"Architecture and engineering occupations","Male","Richmond County","year2014",76470,"year2014_2016",77953
"Architecture and engineering occupations","Male","Richmond County","year2015",76526,"year2014_2016",77953
"Architecture and engineering occupations","Male","Richmond County","year2016",80863,"year2014_2016",77953
"Architecture and engineering occupations","Male","Richmond County","year2017",102358,"year2017_2019",85021.6666666667
"Architecture and engineering occupations","Male","Richmond County","year2018",65551,"year2017_2019",85021.6666666667
"Architecture and engineering occupations","Male","Richmond County","year2019",87156,"year2017_2019",85021.6666666667
"Life, physical, and social science occupations","Male","Bronx County","year2010",71368,"year2010_2013",68846
"Life, physical, and social science occupations","Male","Bronx County","year2011",52237,"year2010_2013",68846
"Life, physical, and social science occupations","Male","Bronx County","year2012",75464,"year2010_2013",68846
"Life, physical, and social science occupations","Male","Bronx County","year2013",76315,"year2010_2013",68846
"Life, physical, and social science occupations","Male","Bronx County","year2014",44863,"year2014_2016",53277.3333333333
"Life, physical, and social science occupations","Male","Bronx County","year2015",60906,"year2014_2016",53277.3333333333
"Life, physical, and social science occupations","Male","Bronx County","year2016",54063,"year2014_2016",53277.3333333333
"Life, physical, and social science occupations","Male","Bronx County","year2017",51780,"year2017_2019",62093.6666666667
"Life, physical, and social science occupations","Male","Bronx County","year2018",72363,"year2017_2019",62093.6666666667
"Life, physical, and social science occupations","Male","Bronx County","year2019",62138,"year2017_2019",62093.6666666667
"Life, physical, and social science occupations","Male","Kings County","year2010",68804,"year2010_2013",60148.75
"Life, physical, and social science occupations","Male","Kings County","year2011",50824,"year2010_2013",60148.75
"Life, physical, and social science occupations","Male","Kings County","year2012",62217,"year2010_2013",60148.75
"Life, physical, and social science occupations","Male","Kings County","year2013",58750,"year2010_2013",60148.75
"Life, physical, and social science occupations","Male","Kings County","year2014",49813,"year2014_2016",62488.6666666667
"Life, physical, and social science occupations","Male","Kings County","year2015",68429,"year2014_2016",62488.6666666667
"Life, physical, and social science occupations","Male","Kings County","year2016",69224,"year2014_2016",62488.6666666667
"Life, physical, and social science occupations","Male","Kings County","year2017",77092,"year2017_2019",69661.6666666667
"Life, physical, and social science occupations","Male","Kings County","year2018",69538,"year2017_2019",69661.6666666667
"Life, physical, and social science occupations","Male","Kings County","year2019",62355,"year2017_2019",69661.6666666667
"Life, physical, and social science occupations","Male","New York County","year2010",55215,"year2010_2013",58674
"Life, physical, and social science occupations","Male","New York County","year2011",52382,"year2010_2013",58674
"Life, physical, and social science occupations","Male","New York County","year2012",51719,"year2010_2013",58674
"Life, physical, and social science occupations","Male","New York County","year2013",75380,"year2010_2013",58674
"Life, physical, and social science occupations","Male","New York County","year2014",60871,"year2014_2016",69923.3333333333
"Life, physical, and social science occupations","Male","New York County","year2015",66519,"year2014_2016",69923.3333333333
"Life, physical, and social science occupations","Male","New York County","year2016",82380,"year2014_2016",69923.3333333333
"Life, physical, and social science occupations","Male","New York County","year2017",76595,"year2017_2019",71089
"Life, physical, and social science occupations","Male","New York County","year2018",67124,"year2017_2019",71089
"Life, physical, and social science occupations","Male","New York County","year2019",69548,"year2017_2019",71089
"Life, physical, and social science occupations","Male","Queens County","year2010",41411,"year2010_2013",58324.5
"Life, physical, and social science occupations","Male","Queens County","year2011",64556,"year2010_2013",58324.5
"Life, physical, and social science occupations","Male","Queens County","year2012",66055,"year2010_2013",58324.5
"Life, physical, and social science occupations","Male","Queens County","year2013",61276,"year2010_2013",58324.5
"Life, physical, and social science occupations","Male","Queens County","year2014",52431,"year2014_2016",62524.6666666667
"Life, physical, and social science occupations","Male","Queens County","year2015",61750,"year2014_2016",62524.6666666667
"Life, physical, and social science occupations","Male","Queens County","year2016",73393,"year2014_2016",62524.6666666667
"Life, physical, and social science occupations","Male","Queens County","year2017",71949,"year2017_2019",72459.3333333333
"Life, physical, and social science occupations","Male","Queens County","year2018",72330,"year2017_2019",72459.3333333333
"Life, physical, and social science occupations","Male","Queens County","year2019",73099,"year2017_2019",72459.3333333333
"Life, physical, and social science occupations","Male","Richmond County","year2010",79576,"year2010_2013",74963.5
"Life, physical, and social science occupations","Male","Richmond County","year2011",71345,"year2010_2013",74963.5
"Life, physical, and social science occupations","Male","Richmond County","year2012",46407,"year2010_2013",74963.5
"Life, physical, and social science occupations","Male","Richmond County","year2013",102526,"year2010_2013",74963.5
"Life, physical, and social science occupations","Male","Richmond County","year2014",67923,"year2014_2016",68351.3333333333
"Life, physical, and social science occupations","Male","Richmond County","year2015",70572,"year2014_2016",68351.3333333333
"Life, physical, and social science occupations","Male","Richmond County","year2016",66559,"year2014_2016",68351.3333333333
"Life, physical, and social science occupations","Male","Richmond County","year2017",102528,"year2017_2019",114377.666666667
"Life, physical, and social science occupations","Male","Richmond County","year2018",150060,"year2017_2019",114377.666666667
"Life, physical, and social science occupations","Male","Richmond County","year2019",90545,"year2017_2019",114377.666666667
"Community and social service occupations","Male","Bronx County","year2010",42250,"year2010_2013",39275.75
"Community and social service occupations","Male","Bronx County","year2011",37344,"year2010_2013",39275.75
"Community and social service occupations","Male","Bronx County","year2012",45053,"year2010_2013",39275.75
"Community and social service occupations","Male","Bronx County","year2013",32456,"year2010_2013",39275.75
"Community and social service occupations","Male","Bronx County","year2014",40801,"year2014_2016",39739.6666666667
"Community and social service occupations","Male","Bronx County","year2015",37856,"year2014_2016",39739.6666666667
"Community and social service occupations","Male","Bronx County","year2016",40562,"year2014_2016",39739.6666666667
"Community and social service occupations","Male","Bronx County","year2017",36592,"year2017_2019",42260.3333333333
"Community and social service occupations","Male","Bronx County","year2018",38109,"year2017_2019",42260.3333333333
"Community and social service occupations","Male","Bronx County","year2019",52080,"year2017_2019",42260.3333333333
"Community and social service occupations","Male","Kings County","year2010",41704,"year2010_2013",38701.75
"Community and social service occupations","Male","Kings County","year2011",34798,"year2010_2013",38701.75
"Community and social service occupations","Male","Kings County","year2012",40859,"year2010_2013",38701.75
"Community and social service occupations","Male","Kings County","year2013",37446,"year2010_2013",38701.75
"Community and social service occupations","Male","Kings County","year2014",41469,"year2014_2016",40373.6666666667
"Community and social service occupations","Male","Kings County","year2015",37261,"year2014_2016",40373.6666666667
"Community and social service occupations","Male","Kings County","year2016",42391,"year2014_2016",40373.6666666667
"Community and social service occupations","Male","Kings County","year2017",37854,"year2017_2019",43241.3333333333
"Community and social service occupations","Male","Kings County","year2018",40761,"year2017_2019",43241.3333333333
"Community and social service occupations","Male","Kings County","year2019",51109,"year2017_2019",43241.3333333333
"Community and social service occupations","Male","New York County","year2010",45277,"year2010_2013",44763
"Community and social service occupations","Male","New York County","year2011",42874,"year2010_2013",44763
"Community and social service occupations","Male","New York County","year2012",50516,"year2010_2013",44763
"Community and social service occupations","Male","New York County","year2013",40385,"year2010_2013",44763
"Community and social service occupations","Male","New York County","year2014",51808,"year2014_2016",48955.3333333333
"Community and social service occupations","Male","New York County","year2015",49143,"year2014_2016",48955.3333333333
"Community and social service occupations","Male","New York County","year2016",45915,"year2014_2016",48955.3333333333
"Community and social service occupations","Male","New York County","year2017",39292,"year2017_2019",47808.3333333333
"Community and social service occupations","Male","New York County","year2018",43899,"year2017_2019",47808.3333333333
"Community and social service occupations","Male","New York County","year2019",60234,"year2017_2019",47808.3333333333
"Community and social service occupations","Male","Queens County","year2010",35700,"year2010_2013",41017
"Community and social service occupations","Male","Queens County","year2011",42358,"year2010_2013",41017
"Community and social service occupations","Male","Queens County","year2012",45632,"year2010_2013",41017
"Community and social service occupations","Male","Queens County","year2013",40378,"year2010_2013",41017
"Community and social service occupations","Male","Queens County","year2014",41833,"year2014_2016",42521
"Community and social service occupations","Male","Queens County","year2015",39980,"year2014_2016",42521
"Community and social service occupations","Male","Queens County","year2016",45750,"year2014_2016",42521
"Community and social service occupations","Male","Queens County","year2017",40381,"year2017_2019",40884.6666666667
"Community and social service occupations","Male","Queens County","year2018",38845,"year2017_2019",40884.6666666667
"Community and social service occupations","Male","Queens County","year2019",43428,"year2017_2019",40884.6666666667
"Community and social service occupations","Male","Richmond County","year2010",40492,"year2010_2013",43235
"Community and social service occupations","Male","Richmond County","year2011",47188,"year2010_2013",43235
"Community and social service occupations","Male","Richmond County","year2012",39548,"year2010_2013",43235
"Community and social service occupations","Male","Richmond County","year2013",45712,"year2010_2013",43235
"Community and social service occupations","Male","Richmond County","year2014",48601,"year2014_2016",46194
"Community and social service occupations","Male","Richmond County","year2015",57006,"year2014_2016",46194
"Community and social service occupations","Male","Richmond County","year2016",32975,"year2014_2016",46194
"Community and social service occupations","Male","Richmond County","year2017",32847,"year2017_2019",48650.3333333333
"Community and social service occupations","Male","Richmond County","year2018",50416,"year2017_2019",48650.3333333333
"Community and social service occupations","Male","Richmond County","year2019",62688,"year2017_2019",48650.3333333333
"Legal occupations","Male","Bronx County","year2010",62235,"year2010_2013",73099
"Legal occupations","Male","Bronx County","year2011",100509,"year2010_2013",73099
"Legal occupations","Male","Bronx County","year2012",55902,"year2010_2013",73099
"Legal occupations","Male","Bronx County","year2013",73750,"year2010_2013",73099
"Legal occupations","Male","Bronx County","year2014",63534,"year2014_2016",69151
"Legal occupations","Male","Bronx County","year2015",61862,"year2014_2016",69151
"Legal occupations","Male","Bronx County","year2016",82057,"year2014_2016",69151
"Legal occupations","Male","Bronx County","year2017",92083,"year2017_2019",83623
"Legal occupations","Male","Bronx County","year2018",60543,"year2017_2019",83623
"Legal occupations","Male","Bronx County","year2019",98243,"year2017_2019",83623
"Legal occupations","Male","Kings County","year2010",101667,"year2010_2013",99685.75
"Legal occupations","Male","Kings County","year2011",102691,"year2010_2013",99685.75
"Legal occupations","Male","Kings County","year2012",92269,"year2010_2013",99685.75
"Legal occupations","Male","Kings County","year2013",102116,"year2010_2013",99685.75
"Legal occupations","Male","Kings County","year2014",102360,"year2014_2016",108941.666666667
"Legal occupations","Male","Kings County","year2015",102264,"year2014_2016",108941.666666667
"Legal occupations","Male","Kings County","year2016",122201,"year2014_2016",108941.666666667
"Legal occupations","Male","Kings County","year2017",111224,"year2017_2019",121428
"Legal occupations","Male","Kings County","year2018",126993,"year2017_2019",121428
"Legal occupations","Male","Kings County","year2019",126067,"year2017_2019",121428
"Legal occupations","Male","New York County","year2010",181871,"year2010_2013",170436.25
"Legal occupations","Male","New York County","year2011",168198,"year2010_2013",170436.25
"Legal occupations","Male","New York County","year2012",170824,"year2010_2013",170436.25
"Legal occupations","Male","New York County","year2013",160852,"year2010_2013",170436.25
"Legal occupations","Male","New York County","year2014",166353,"year2014_2016",176562.333333333
"Legal occupations","Male","New York County","year2015",162037,"year2014_2016",176562.333333333
"Legal occupations","Male","New York County","year2016",201297,"year2014_2016",176562.333333333
"Legal occupations","Male","New York County","year2017",180189,"year2017_2019",198308.666666667
"Legal occupations","Male","New York County","year2018",213455,"year2017_2019",198308.666666667
"Legal occupations","Male","New York County","year2019",201282,"year2017_2019",198308.666666667
"Legal occupations","Male","Queens County","year2010",71681,"year2010_2013",73538
"Legal occupations","Male","Queens County","year2011",82482,"year2010_2013",73538
"Legal occupations","Male","Queens County","year2012",66720,"year2010_2013",73538
"Legal occupations","Male","Queens County","year2013",73269,"year2010_2013",73538
"Legal occupations","Male","Queens County","year2014",75845,"year2014_2016",82697
"Legal occupations","Male","Queens County","year2015",92658,"year2014_2016",82697
"Legal occupations","Male","Queens County","year2016",79588,"year2014_2016",82697
"Legal occupations","Male","Queens County","year2017",92130,"year2017_2019",91713.6666666667
"Legal occupations","Male","Queens County","year2018",79038,"year2017_2019",91713.6666666667
"Legal occupations","Male","Queens County","year2019",103973,"year2017_2019",91713.6666666667
"Legal occupations","Male","Richmond County","year2010",92443,"year2010_2013",83758
"Legal occupations","Male","Richmond County","year2011",61071,"year2010_2013",83758
"Legal occupations","Male","Richmond County","year2012",80995,"year2010_2013",83758
"Legal occupations","Male","Richmond County","year2013",100523,"year2010_2013",83758
"Legal occupations","Male","Richmond County","year2014",64175,"year2014_2016",83230
"Legal occupations","Male","Richmond County","year2015",85452,"year2014_2016",83230
"Legal occupations","Male","Richmond County","year2016",100063,"year2014_2016",83230
"Legal occupations","Male","Richmond County","year2017",77141,"year2017_2019",96533.6666666667
"Legal occupations","Male","Richmond County","year2018",110373,"year2017_2019",96533.6666666667
"Legal occupations","Male","Richmond County","year2019",102087,"year2017_2019",96533.6666666667
"Education, training, and library occupations","Male","Bronx County","year2010",46088,"year2010_2013",42956.75
